Family,Abbreviation,Name,Probe,Accession
Gammaretrovirus,KoRV,Koala retrovirus,GAG,AAF15097.1
Deltaretrovirus,BLV,Bovine leukemia virus,GAG,AAC82585.1
Deltaretrovirus,HTLV-2,Human T-lymphotropic virus type 2,GAG,AAB59884.1
Epsilonretrovirus,WEHV,Walleye epidermal hyperplasia virus 1,GAG,AAD30047.1
Lentivirus,HIV-1,Human immunodeficiency virus type 1,GAG,AAC82593.1
Lentivirus,FIV,Feline immunodeficiency virus,GAG,AAB59936.1
Spumaretrovirus,BFV,Bovine foamy virus,GAG,AAB68769.1
Spumaretrovirus,FFV,Feline foamy virus,GAG,CAA70074.1
Gammaretrovirus,MjERVk,Manis javanica endogenous retrovirus group K,GAG,KAI5943785.1
Lentivirus,VMV,Visna-maedi virus,VIF,AAB25461.1
Lentivirus,HIV-1,Human immunodeficiency virus type 1,VIF,AAF20197.1
Lentivirus,SIV,Simian immunodeficiency virus,VIF,AAP97009.1
Lentivirus,SRLV,Small ruminant lentivirus,VIF,ALU34105.1
Lentivirus,PLV,Puma lentivirus,VIF,QIG38012.1
Lentivirus,FIV,Feline immunodeficiency virus,VIF,WPT10369.1
Betaretrovirus,HERV-K,Human endogenous retrovirus K,REV,AAD10329.1
Lentivirus,VMV,Visna-maedi virus,REV,AAB25464.1
Lentivirus,HIV-1,Human immunodeficiency virus type 1,TAT,NP_057853.1
Lentivirus,HIV-1,Human immunodeficiency virus type 1,NEF,NP_057857.2
Lentivirus,HIV-1,Human immunodeficiency virus type 1,VIF,NP_057851.1
Lentivirus,HIV-1,Human immunodeficiency virus type 1,VPR,NP_057852.2
Lentivirus,HIV-1,Human immunodeficiency virus type 1,VPU,NP_057855.1
Lentivirus,SIV,Simian immunodeficiency virus,TAT,NP_758891.1
Lentivirus,SIV,Simian immunodeficiency virus,NEF,NP_054373.1
Lentivirus,SIV,Simian immunodeficiency virus,VIF,NP_054370.1
Lentivirus,SIV,Simian immunodeficiency virus,VPR,NP_758890.1
Deltaretrovirus,HTLV-2,Human T-lymphotropic virus type 2,TAX,NP_041005.1
Deltaretrovirus,HTLV-2,Human T-lymphotropic virus type 2,REX,NP_041004.1
Lentivirus,FIV,Feline immunodeficiency virus,VIF,ABO69514.1
Lentivirus,FIV,Feline immunodeficiency virus,REV,AAB22932.1
Deltaretrovirus,BLV,Bovine leukemia virus,TAX,BFM31758.1
Deltaretrovirus,BLV,Bovine leukemia virus,REX,AAF97919.1
Lentivirus,VMV,Visna-maedi virus,TAT,NP_040842.1
Lentivirus,VMV,Visna-maedi virus,VIF,NP_040841.1
Betaretrovirus,MMTV,Mouse mammary tumor virus,SAG,AAF31476.1
Lentivirus,EIAV,Equine infectious anemia virus,TAT,QSX72032.1
Lentivirus,EIAV,Equine infectious anemia virus,REV,QSX72037.1
Lentivirus,HIV-2,Human immunodeficiency virus type 2,VPX,NP_056840.1
Lentivirus,BIV,Bovine immunodeficiency virus,TAT,AAA42775.1
Lentivirus,BIV,Bovine immunodeficiency virus,REV,AAA42774.1
Lentivirus,BIV,Bovine immunodeficiency virus,VIF,AAA42768.1
Betaretrovirus,HERV-K,Human endogenous retrovirus K,REC,Q69383.1
Betaretrovirus,HERV-K,Human endogenous retrovirus K,NP9,P61582.1
Betaretrovirus,MMTV,Mouse mammary tumor virus,REM,ABB02515.1
Lentivirus,SIV,Simian immunodeficiency virus,VPX,NP_054371.1
Lentivirus,CAEV,Caprine arthritis encephalitis virus,TAT,AAG48631.1
Lentivirus,CAEV,Caprine arthritis encephalitis virus,REV,AAG48633.1
Lentivirus,EIAV,Equine infectious anemia virus,S2,UWI48065.1
Spumaretrovirus,SFV,Simian foamy virus,TAS,YP_010790459.1
Spumaretrovirus,SFV,Simian foamy virus,BET,NP_056806.1
Deltaretrovirus,BLV,Bovine leukemia virus,G4,BFM31448.1
Deltaretrovirus,HTLV-1,Human T-lymphotropic virus type 1,HBZ,BAX35088.1
Deltaretrovirus,HTLV-1,Human T-lymphotropic virus type 1,P12,AAZ22381.1
Deltaretrovirus,HTLV-1,Human T-lymphotropic virus type 1,P30,QXU57409.1
Deltaretrovirus,HTLV-1,Human T-lymphotropic virus type 1,P13,QXU57412.1
Lentivirus,HIV-2,Human immunodeficiency virus type 2,TAT,NP_056842.1
Lentivirus,HIV-2,Human immunodeficiency virus type 2,NEF,NP_056845.1
Lentivirus,HIV-2,Human immunodeficiency virus type 2,VIF,NP_056839.1
Lentivirus,HIV-2,Human immunodeficiency virus type 2,VPR,NP_056841.1
Deltaretrovirus,HTLV-4,Human T-lymphotropic virus type 4,TAX,YP_002455788.1
Deltaretrovirus,HTLV-4,Human T-lymphotropic virus type 4,REX,YP_002455787.1
Deltaretrovirus,HTLV-1,Human T-lymphotropic virus type 1,P40,NP_057864
Deltaretrovirus,HTLV-1,Human T-lymphotropic virus type 1,P27,NP_057863.1
Betaretrovirus,MMTV,Mouse mammary tumor virus,Pr48,NP_056884.1
Lentivirus,CAEV,Caprine arthritis encephalitis virus,Protein S,NP_040941.1
Lentivirus,CAEV,Caprine arthritis encephalitis virus,Protein Q,NP_040940.1
Spumaretrovirus,SFV,Simian foamy virus,TAF,NP_056805.1
Spumaretrovirus,SFV,Simian foamy virus,BEL2,YP_009508585.1
Gammaretrovirus,FLV,Feline leukemia virus,P15E,NP_955582.1
Betaretrovirus,MMTV,Mouse mammary tumor virus,Pr160,NP_056880.1
Betaretrovirus,MMTV,Mouse mammary tumor virus,Pr77,NP_056882.1
Betaretrovirus,MMTV,Mouse mammary tumor virus,gPr73,NP_056883.1
Lentivirus,EIAV,Equine infectious anemia virus,POL,NP_056902.1
Lentivirus,EIAV,Equine infectious anemia virus,GAG,NP_056901.1
Lentivirus,EIAV,Equine infectious anemia virus,ENV,YP_010360050.1
